iter	Logloss
0	0.4515926801
1	0.3050536805
2	0.1924882455
3	0.1520140694
4	0.1135755522
5	0.08729695898
6	0.07061600147
7	0.05550031827
8	0.04666498482
9	0.03486692484
10	0.03039314528
11	0.02507048586
12	0.02191806502
13	0.01839064946
14	0.0172275219
15	0.01457246444
16	0.01367816465
17	0.01226774882
18	0.009909263499
19	0.008321730343
20	0.007474828955
21	0.007008197943
22	0.006586110033
23	0.005949643546
24	0.005709998364
25	0.005327673153
26	0.004929841464
27	0.00456259084
28	0.004205674745
29	0.004066123382
30	0.003768242797
31	0.003670716649
32	0.003449222835
33	0.003255925803
34	0.00310248838
35	0.003021075453
36	0.002861233086
37	0.002538146845
38	0.002448424137
39	0.002245348736
40	0.002129479327
41	0.002086806475
42	0.001989319955
43	0.001908177813
44	0.001839211459
45	0.001774927684
46	0.001708277093
47	0.001654407036
48	0.001567498834
49	0.001545319995
50	0.001467925483
51	0.001378898971
52	0.001357185139
53	0.001357185139
54	0.001308997983
55	0.001249337606
56	0.001205550876
57	0.001205534333
58	0.001170505525
59	0.001139504448
60	0.001139504448
61	0.001114739601
62	0.001114682513
63	0.001114601384
64	0.001071726707
65	0.001016051831
66	0.001016051831
67	0.0009824714188
68	0.0009612141429
69	0.0009612114336
70	0.0009228151408
71	0.000922808166
72	0.0008796145236
73	0.0008795888306
74	0.0008795758107
75	0.0008795758107
76	0.0008795758107
77	0.0008795656718
78	0.0008795656718
79	0.000854844857
80	0.0008548064586
81	0.0008548135046
82	0.0008547921721
83	0.0008547787107
84	0.0008547348395
85	0.0008547029609
86	0.0008546806236
87	0.0008545683491
88	0.0008545683491
89	0.0008545683491
90	0.0008545683491
91	0.0008545786922
92	0.0008088513602
93	0.0008088513602
94	0.0008088183462
95	0.0008088140389
96	0.0008088140389
97	0.0008087852826
98	0.0008087901716
99	0.0008087590919
100	0.0008087590919
101	0.0008087803345
102	0.0008087931763
103	0.0008087786412
104	0.0008087900624
105	0.0008087772351
106	0.0008087819693
107	0.0008087819693
108	0.0008087551836
109	0.0008087677469
110	0.0008087407513
111	0.0008087298355
112	0.0008087421215
113	0.0008087422681
114	0.0008087233818
115	0.000808700274
116	0.0008086813151
117	0.0008086756567
118	0.0008086466564
119	0.0008086607548
120	0.0008086270551
121	0.0008086378303
122	0.0008086670057
123	0.000808627822
124	0.0008086345246
125	0.000808620008
126	0.0008086346514
127	0.0008086217553
128	0.0008085930049
129	0.0008086016001
130	0.0008086132466
131	0.0008086207381
132	0.0008085906393
133	0.0008085601361
134	0.0008085330439
135	0.0008085132684
136	0.0008085082839
137	0.0008084917382
138	0.0008084530001
139	0.0008084349026
140	0.0008084441121
141	0.0008084710884
142	0.0008084441485
143	0.000808448922
144	0.000808421368
145	0.0008083950838
146	0.0008084187755
147	0.000808430219
148	0.0008084176864
149	0.0008084069281
150	0.0008084050816
151	0.0008084239094
152	0.0008083785298
153	0.0008084000314
154	0.0008083939414
155	0.0008084210791
156	0.0008083896054
157	0.0008084042734
158	0.0008083589655
159	0.0008084061282
160	0.0008083653659
161	0.000808356587
162	0.0008083820229
163	0.0008083702779
164	0.0008083632844
165	0.000808361295
166	0.0008083491523
167	0.0008083237067
168	0.0008083354558
169	0.0008083139449
170	0.0008083092594
171	0.0008082640683
172	0.0008082736579
173	0.000808265505
174	0.0008082367976
175	0.000808188792
176	0.0008082065459
177	0.0008081965761
178	0.0008081945429
179	0.0008081688224
180	0.0008081801075
181	0.0008081731916
182	0.0008081695887
183	0.0008081571723
184	0.0008081444162
185	0.0008081169959
186	0.0008080713994
187	0.0008080938452
188	0.0008080678986
189	0.0008080784658
190	0.000808079838
191	0.000808029535
192	0.0008080152423
193	0.0008080282161
194	0.0008080065238
195	0.0008080116758
196	0.0008079338042
197	0.0008079336219
198	0.0008079459699
199	0.0008079336439
